Time: 8, Scan Access Card: 255506, Input PIN: 4667, Scan Fingerprint: 3fdba35f04dc8c462986c992bcf875546257113072a909c162f7e470e581e278, Room Area: Marketing
Time: 9, Scan Access Card: 543209, Input PIN: 8438, Scan Fingerprint: e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb, Room Area: Marketing
Time: 9, Scan Access Card: 232212, Input PIN: 7805, Scan Fingerprint: 2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3, Room Area: Sales
Time: 9, Scan Access Card: 182093, Input PIN: 9249, Scan Fingerprint: null, Room Area: Marketing
Time: 9, Scan Access Card: 693402, Input PIN: 3205, Scan Fingerprint: 0b918943df0962bc7a1824c0555a389347b4febdc7cf9d1254406d80ce44e3f9, Room Area: Sales
Time: 9, Scan Access Card: 299405, Input PIN: 5439, Scan Fingerprint: c2356069e9d1e79ca924378153cfbbfb4d4416b1f99d41a2940bfdb66c5319db, Room Area: Marketing
Time: 9, Scan Access Card: 534996, Input PIN: 4660, Scan Fingerprint: 31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617, Room Area: Marketing
Time: 10, Scan Access Card: 426605, Input PIN: 3641, Scan Fingerprint: null, Room Area: Maintenance
Time: 10, Scan Access Card: 504383, Input PIN: 7266, Scan Fingerprint: c2356069e9d1e79ca924378153cfbbfb4d4416b1f99d41a2940bfdb66c5319db, Room Area: Manufacturer
Time: 10, Scan Access Card: 815180, Input PIN: 3641, Scan Fingerprint: 19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7, Room Area: Manufacturer
Time: 10, Scan Access Card: 182093, Input PIN: 1534, Scan Fingerprint: 31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617, Room Area: Marketing
Time: 10, Scan Access Card: 141943, Input PIN: 1385, Scan Fingerprint: eb1e33e8a81b697b75855af6bfcdbcbf7cbbde9f94962ceaec1ed8af21f5a50f, Room Area: Manufacturer
Time: 10, Scan Access Card: 828870, Input PIN: 8596, Scan Fingerprint: 98010bd9270f9b100b6214a21754fd33bdc8d41b2bc9f9dd16ff54d3c34ffd71, Room Area: Manager
Time: 10, Scan Access Card: 870839, Input PIN: 9807, Scan Fingerprint: 9400f1b21cb527d7fa3d3eabba93557a18ebe7a2ca4e471cfe5e4c5b4ca7f767, Room Area: Manager
Time: 10, Scan Access Card: 317394, Input PIN: 7551, Scan Fingerprint: 73475cb40a568e8da8a045ced110137e159f890ac4da883b6b17dc651b3a8049, Room Area: Manufacturer
Time: 10, Scan Access Card: 317394, Input PIN: 7551, Scan Fingerprint: 73475cb40a568e8da8a045ced110137e159f890ac4da883b6b17dc651b3a8049, Room Area: Manufacturer
Time: 11, Scan Access Card: 828870, Input PIN: 8596, Scan Fingerprint: 98010bd9270f9b100b6214a21754fd33bdc8d41b2bc9f9dd16ff54d3c34ffd71, Room Area: Manager
Time: 11, Scan Access Card: 255506, Input PIN: 4667, Scan Fingerprint: 3fdba35f04dc8c462986c992bcf875546257113072a909c162f7e470e581e278, Room Area: Marketing
Time: 11, Scan Access Card: 182093, Input PIN: 1534, Scan Fingerprint: 31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617, Room Area: Marketing
Time: 11, Scan Access Card: 776207, Input PIN: 9807, Scan Fingerprint: null, Room Area: Manager
Time: 11, Scan Access Card: 513239, Input PIN: 9249, Scan Fingerprint: 6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b, Room Area: Marketing
Time: 11, Scan Access Card: 828870, Input PIN: 8596, Scan Fingerprint: 98010bd9270f9b100b6214a21754fd33bdc8d41b2bc9f9dd16ff54d3c34ffd71, Room Area: Manager
Time: 11, Scan Access Card: 828870, Input PIN: 8596, Scan Fingerprint: 98010bd9270f9b100b6214a21754fd33bdc8d41b2bc9f9dd16ff54d3c34ffd71, Room Area: Manager
Time: 11, Scan Access Card: 513239, Input PIN: 9249, Scan Fingerprint: 4ec9599fc203d176a301536c2e091a19bc852759b255bd6818810a42c5fed14a, Room Area: Marketing
Time: 11, Scan Access Card: 815180, Input PIN: 3641, Scan Fingerprint: 19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7, Room Area: Manufacturer
Time: 12, Scan Access Card: 765428, Input PIN: 7466, Scan Fingerprint: null, Room Area: Manufacturer
Time: 12, Scan Access Card: 406300, Input PIN: 3277, Scan Fingerprint: e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683, Room Area: Manager
Time: 12, Scan Access Card: 918066, Input PIN: 9104, Scan Fingerprint: b7a56873cd771f2c446d369b649430b65a756ba278ff97ec81bb6f55b2e73569, Room Area: Manufacturer
Time: 12, Scan Access Card: 182093, Input PIN: 1534, Scan Fingerprint: 31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617, Room Area: Marketing
Time: 12, Scan Access Card: 776207, Input PIN: 8596, Scan Fingerprint: null, Room Area: Manager
Time: 12, Scan Access Card: 317394, Input PIN: 7551, Scan Fingerprint: 73475cb40a568e8da8a045ced110137e159f890ac4da883b6b17dc651b3a8049, Room Area: Manufacturer
Time: 12, Scan Access Card: 899356, Input PIN: 9249, Scan Fingerprint: null, Room Area: Manufacturer
Time: 12, Scan Access Card: 406300, Input PIN: 3277, Scan Fingerprint: e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683, Room Area: Manager
Time: 12, Scan Access Card: 746853, Input PIN: 9030, Scan Fingerprint: 76a50887d8f1c2e9301755428990ad81479ee21c25b43215cf524541e0503269, Room Area: Manufacturer
Time: 13, Scan Access Card: 255506, Input PIN: 3641, Scan Fingerprint: null, Room Area: Marketing
Time: 13, Scan Access Card: 141943, Input PIN: 1385, Scan Fingerprint: eb1e33e8a81b697b75855af6bfcdbcbf7cbbde9f94962ceaec1ed8af21f5a50f, Room Area: Manufacturer
Time: 13, Scan Access Card: 406300, Input PIN: 3277, Scan Fingerprint: e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683, Room Area: Manager
Time: 13, Scan Access Card: 899356, Input PIN: 7466, Scan Fingerprint: 4523540f1504cd17100c4835e85b7eefd49911580f8efff0599a8f283be6b9e3, Room Area: Manufacturer
Time: 13, Scan Access Card: 740022, Input PIN: 9230, Scan Fingerprint: b17ef6d19c7a5b1ee83b907c595526dcb1eb06db8227d650d5dda0a9f4ce8cd9, Room Area: Manager
Time: 13, Scan Access Card: 870839, Input PIN: 9807, Scan Fingerprint: 9400f1b21cb527d7fa3d3eabba93557a18ebe7a2ca4e471cfe5e4c5b4ca7f767, Room Area: Manager
Time: 13, Scan Access Card: 355310, Input PIN: 2349, Scan Fingerprint: 76a50887d8f1c2e9301755428990ad81479ee21c25b43215cf524541e0503269, Room Area: Manager
Time: 13, Scan Access Card: 141943, Input PIN: 1385, Scan Fingerprint: eb1e33e8a81b697b75855af6bfcdbcbf7cbbde9f94962ceaec1ed8af21f5a50f, Room Area: Manufacturer
Time: 13, Scan Access Card: 746853, Input PIN: 9030, Scan Fingerprint: 76a50887d8f1c2e9301755428990ad81479ee21c25b43215cf524541e0503269, Room Area: Manufacturer
Time: 14, Scan Access Card: 969654, Input PIN: 4067, Scan Fingerprint: 4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5, Room Area: Manager
Time: 14, Scan Access Card: 815180, Input PIN: 3641, Scan Fingerprint: 19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7, Room Area: Manufacturer
Time: 14, Scan Access Card: 815180, Input PIN: 3641, Scan Fingerprint: 19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7, Room Area: Manufacturer
Time: 14, Scan Access Card: 765428, Input PIN: 9249, Scan Fingerprint: 6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b, Room Area: Manufacturer
Time: 14, Scan Access Card: 969654, Input PIN: 4067, Scan Fingerprint: 4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5, Room Area: Manager
Time: 14, Scan Access Card: 815180, Input PIN: 3641, Scan Fingerprint: 19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7, Room Area: Manufacturer
Time: 14, Scan Access Card: 918066, Input PIN: 9104, Scan Fingerprint: b7a56873cd771f2c446d369b649430b65a756ba278ff97ec81bb6f55b2e73569, Room Area: Manufacturer
Time: 14, Scan Access Card: 918066, Input PIN: 9104, Scan Fingerprint: b7a56873cd771f2c446d369b649430b65a756ba278ff97ec81bb6f55b2e73569, Room Area: Manufacturer
Time: 14, Scan Access Card: 141943, Input PIN: 1385, Scan Fingerprint: eb1e33e8a81b697b75855af6bfcdbcbf7cbbde9f94962ceaec1ed8af21f5a50f, Room Area: Manufacturer
Time: 15, Scan Access Card: 534996, Input PIN: 4660, Scan Fingerprint: 7a61b53701befdae0eeeffaecc73f14e20b537bb0f8b91ad7c2936dc63562b25, Room Area: Marketing
Time: 15, Scan Access Card: 534996, Input PIN: 4660, Scan Fingerprint: 7a61b53701befdae0eeeffaecc73f14e20b537bb0f8b91ad7c2936dc63562b25, Room Area: Marketing
Time: 15, Scan Access Card: 182093, Input PIN: 1534, Scan Fingerprint: 7a61b53701befdae0eeeffaecc73f14e20b537bb0f8b91ad7c2936dc63562b25, Room Area: Marketing
Time: 15, Scan Access Card: 118474, Input PIN: 6932, Scan Fingerprint: 44cb730c420480a0477b505ae68af508fb90f96cf0ec54c6ad16949dd427f13a, Room Area: Marketing
Time: 15, Scan Access Card: 420251, Input PIN: 5250, Scan Fingerprint: null, Room Area: Sales
Time: 15, Scan Access Card: 534996, Input PIN: 4660, Scan Fingerprint: 7a61b53701befdae0eeeffaecc73f14e20b537bb0f8b91ad7c2936dc63562b25, Room Area: Marketing
Time: 15, Scan Access Card: 828870, Input PIN: 5250, Scan Fingerprint: null, Room Area: Sales
Time: 15, Scan Access Card: 372762, Input PIN: 4215, Scan Fingerprint: 0e17daca5f3e175f448bacace3bc0da47d0655a74c8dd0dc497a3afbdad95f1f, Room Area: Sales
Time: 15, Scan Access Card: 776207, Input PIN: 5250, Scan Fingerprint: d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35, Room Area: Sales
Time: 16, Scan Access Card: 299405, Input PIN: 5439, Scan Fingerprint: 9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953, Room Area: Marketing
Time: 16, Scan Access Card: 640375, Input PIN: 4358, Scan Fingerprint: 8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61, Room Area: Manufacturer
Time: 16, Scan Access Card: 353170, Input PIN: 5956, Scan Fingerprint: null, Room Area: Manager
Time: 16, Scan Access Card: 353170, Input PIN: 5551, Scan Fingerprint: 535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790, Room Area: Manufacturer
Time: 16, Scan Access Card: 372762, Input PIN: 4215, Scan Fingerprint: 0e17daca5f3e175f448bacace3bc0da47d0655a74c8dd0dc497a3afbdad95f1f, Room Area: Sales
Time: 16, Scan Access Card: 420251, Input PIN: 3635, Scan Fingerprint: c6f3ac57944a531490cd39902d0f777715fd005efac9a30622d5f5205e7f6894, Room Area: Manager
Time: 16, Scan Access Card: 118474, Input PIN: 6932, Scan Fingerprint: 44cb730c420480a0477b505ae68af508fb90f96cf0ec54c6ad16949dd427f13a, Room Area: Marketing
Time: 16, Scan Access Card: 219731, Input PIN: 8368, Scan Fingerprint: 670671cd97404156226e507973f2ab8330d3022ca96e0c93bdbdb320c41adcaf, Room Area: Manufacturer
Time: 16, Scan Access Card: 870839, Input PIN: 5250, Scan Fingerprint: null, Room Area: Sales
Time: 17, Scan Access Card: 776207, Input PIN: 3635, Scan Fingerprint: null, Room Area: Manager
Time: 17, Scan Access Card: 952171, Input PIN: 5956, Scan Fingerprint: 4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8, Room Area: Manager
Time: 17, Scan Access Card: 353170, Input PIN: 5551, Scan Fingerprint: c6f3ac57944a531490cd39902d0f777715fd005efac9a30622d5f5205e7f6894, Room Area: Manufacturer
Time: 17, Scan Access Card: 268610, Input PIN: 3753, Scan Fingerprint: d59eced1ded07f84c145592f65bdf854358e009c5cd705f5215bf18697fed103, Room Area: Manager
Time: 17, Scan Access Card: 746853, Input PIN: 9030, Scan Fingerprint: 7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451, Room Area: Manufacturer
Time: 17, Scan Access Card: 776207, Input PIN: 5250, Scan Fingerprint: d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35, Room Area: Sales
Time: 17, Scan Access Card: 353170, Input PIN: 5551, Scan Fingerprint: 535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790, Room Area: Manufacturer
Time: 17, Scan Access Card: 219731, Input PIN: 8368, Scan Fingerprint: 670671cd97404156226e507973f2ab8330d3022ca96e0c93bdbdb320c41adcaf, Room Area: Manufacturer
Time: 17, Scan Access Card: 219731, Input PIN: 8368, Scan Fingerprint: 670671cd97404156226e507973f2ab8330d3022ca96e0c93bdbdb320c41adcaf, Room Area: Manufacturer
Time: 18, Scan Access Card: 776207, Input PIN: 7104, Scan Fingerprint: null, Room Area: Maintenance
Time: 18, Scan Access Card: 420251, Input PIN: 3635, Scan Fingerprint: c6f3ac57944a531490cd39902d0f777715fd005efac9a30622d5f5205e7f6894, Room Area: Manager
Time: 18, Scan Access Card: 920824, Input PIN: 6420, Scan Fingerprint: 6b51d431df5d7f141cbececcf79edf3dd861c3b4069f0b11661a3eefacbba918, Room Area: Maintenance
Time: 18, Scan Access Card: 815180, Input PIN: 8108, Scan Fingerprint: null, Room Area: Manufacturer
Time: 18, Scan Access Card: 158505, Input PIN: 6090, Scan Fingerprint: 35135aaa6cc23891b40cb3f378c53a17a1127210ce60e125ccf03efcfdaec458, Room Area: Manager
Time: 18, Scan Access Card: 900438, Input PIN: 7897, Scan Fingerprint: 25fc0e7096fc653718202dc30b0c580b8ab87eac11a700cba03a7c021bc35b0c, Room Area: Maintenance
Time: 18, Scan Access Card: 158505, Input PIN: 6090, Scan Fingerprint: 35135aaa6cc23891b40cb3f378c53a17a1127210ce60e125ccf03efcfdaec458, Room Area: Manager
Time: 18, Scan Access Card: 587346, Input PIN: 5250, Scan Fingerprint: null, Room Area: Sales
Time: 18, Scan Access Card: 420251, Input PIN: 3635, Scan Fingerprint: 535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790, Room Area: Manager
Time: 19, Scan Access Card: 952171, Input PIN: 5551, Scan Fingerprint: null, Room Area: Manufacturer
