ID: 1, PIN: 9249, Access Card ID: 765428, Fingerprint ID: 6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b, Division: Manufacturer, Start Time: 10, Finish Time: 14
ID: 36, PIN: 9030, Access Card ID: 746853, Fingerprint ID: 76a50887d8f1c2e9301755428990ad81479ee21c25b43215cf524541e0503269, Division: Manufacturer, Start Time: 10, Finish Time: 14
ID: 37, PIN: 4660, Access Card ID: 534996, Fingerprint ID: 7a61b53701befdae0eeeffaecc73f14e20b537bb0f8b91ad7c2936dc63562b25, Division: Marketing, Start Time: 14, Finish Time: 18
ID: 38, PIN: 8108, Access Card ID: 426605, Fingerprint ID: aea92132c4cbeb263e6ac2bf6c183b5d81737f179f21efdc5863739672f0f470, Division: Maintenance, Start Time: 18, Finish Time: 20
ID: 39, PIN: 3205, Access Card ID: 693402, Fingerprint ID: 0b918943df0962bc7a1824c0555a389347b4febdc7cf9d1254406d80ce44e3f9, Division: Sales, Start Time: 8, Finish Time: 12
ID: 40, PIN: 3753, Access Card ID: 268610, Fingerprint ID: d59eced1ded07f84c145592f65bdf854358e009c5cd705f5215bf18697fed103, Division: Manager, Start Time: 16, Finish Time: 20
ID: 41, PIN: 9767, Access Card ID: 612544, Fingerprint ID: 3d914f9348c9cc0ff8a79716700b9fcd4d2f3e711608004eb8f138bcba7f14d9, Division: Manufacturer, Start Time: 16, Finish Time: 20
ID: 42, PIN: 7551, Access Card ID: 317394, Fingerprint ID: 73475cb40a568e8da8a045ced110137e159f890ac4da883b6b17dc651b3a8049, Division: Manufacturer, Start Time: 10, Finish Time: 14
ID: 43, PIN: 6932, Access Card ID: 118474, Fingerprint ID: 44cb730c420480a0477b505ae68af508fb90f96cf0ec54c6ad16949dd427f13a, Division: Marketing, Start Time: 14, Finish Time: 18
ID: 44, PIN: 3386, Access Card ID: 613317, Fingerprint ID: 71ee45a3c0db9a9865f7313dd3372cf60dca6479d46261f3542eb9346e4a04d6, Division: Manufacturer, Start Time: 16, Finish Time: 20
ID: 45, PIN: 5863, Access Card ID: 205325, Fingerprint ID: 811786ad1ae74adfdd20dd0372abaaebc6246e343aebd01da0bfc4c02bf0106c, Division: Manufacturer, Start Time: 16, Finish Time: 20
ID: 46, PIN: 7897, Access Card ID: 900438, Fingerprint ID: 25fc0e7096fc653718202dc30b0c580b8ab87eac11a700cba03a7c021bc35b0c, Division: Maintenance, Start Time: 18, Finish Time: 20
ID: 47, PIN: 1534, Access Card ID: 182093, Fingerprint ID: 31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617, Division: Marketing, Start Time: 8, Finish Time: 12
ID: 48, PIN: 8596, Access Card ID: 828870, Fingerprint ID: 98010bd9270f9b100b6214a21754fd33bdc8d41b2bc9f9dd16ff54d3c34ffd71, Division: Manager, Start Time: 10, Finish Time: 14
ID: 49, PIN: 4215, Access Card ID: 372762, Fingerprint ID: 0e17daca5f3e175f448bacace3bc0da47d0655a74c8dd0dc497a3afbdad95f1f, Division: Sales, Start Time: 14, Finish Time: 18
ID: 50, PIN: 5992, Access Card ID: 735040, Fingerprint ID: 1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb, Division: Maintenance, Start Time: 18, Finish Time: 20
